地市,重要区域信号优化,重要区域信号优化完成,市场放号,市场放号完成,政企客户网优,政企客户网优完成,VIP客户投诉处理,VIP客户投诉处理完成,应急支撑,应急支撑完成
佛山,0,0,5,2,3,0,11,1,5,1
深圳,2,1,1,0,1,0,4,0,2,2
东莞,0,0,0,0,1,0,6,3,1,0
汕头,0,0,0,0,0,0,2,0,1,0
潮州,0,0,0,0,0,0,0,0,1,0
河源,0,0,0,0,0,0,2,0,1,0
广州,0,0,1,1,4,0,1,0,0,0
肇庆,0,0,1,1,0,0,1,0,0,0
云浮,0,0,1,1,0,0,1,0,0,0
汕尾,0,0,0,0,0,0,2,0,0,0
韶关,0,0,0,0,0,0,2,0,0,0
清远,0,0,0,0,0,0,2,0,0,0
江门,0,0,0,0,0,0,3,1,0,0
中山,0,0,1,1,1,0,0,0,2,0
湛江,0,0,1,1,0,0,0,0,0,0
茂名,0,0,1,0,0,0,1,0,0,0
阳江,0,0,1,0,1,0,0,0,0,0
珠海,0,0,1,0,1,0,0,0,0,0
梅州,0,0,1,0,0,0,2,0,0,0
揭阳,0,0,1,0,0,0,1,0,0,0
惠州,0,0,0,0,1,0,2,0,0,0
合计,2,1,16,7,13,0,43,5,13,3
